raw,kal
49.00668,49.01856
49.10505,49.11289
48.95831,48.96782
49.05395,49.45238
49.10787,49.10986
49.01277,49.03468
49.00768,49.01744
49.20216,49.20889
49.15334,49.16545
49.10532,49.11419
49.1547,49.16511
49.00258,49.01305
48.91343,48.92945
48.81402,48.82116
48.8147,48.82093
48.81339,48.8292
48.90873,48.91181
48.80827,48.8199
49.01374,49.02421
49.10331,49.11541
49.10093,49.0902
49.05181,49.063
49.19852,49.19728
49.15261,49.15934
49.00887,49.03543
48.95918,48.97314
48.95622,48.96951
49.00813,49.01432
49.0516,49.04802
49.05629,49.06385
49.00515,49.01862
49.00521,49.01377
49.05425,49.06822
48.95468,48.96297
49.09554,49.10601
49.14181,49.15125
49.09799,49.10909
49.24419,49.26129
49.14632,49.15651
49.05164,49.0538
49.14628,49.16162
49.00122,49.0129
49.09995,49.10799
48.99962,49.0098
49.14658,49.15699
49.0973,49.11238
49.14572,49.15512
49.29247,49.22048
49.14454,49.15094
49.29109,49.29805
49.09993,49.11404
49.19897,49.11404
48.6876,48.75536
48.74162,48.75232
48.83858,48.8928
48.84674,48.83245
48.79571,48.75384
48.94524,48.96619
49.13986,49.22701
49.91548,50.18217
51.07741,51.31101
51.9939,52.13266
52.52395,52.62994
52.81508,52.84134
52.91051,52.92506
52.86022,52.86126
52.66768,52.62739
52.61985,52.61967
52.71528,52.77361
53.00242,53.01529
53.24165,53.25083
53.29161,53.29319
53.14551,53.1621
53.14489,53.15884
53.14359,53.15268
53.14744,53.15745
53.1443,53.15286
53.04752,53.05685
52.99795,53.00682
53.09866,53.10408
53.09671,53.10486
53.24492,53.23416
53.14629,53.16144
53.14614,53.16061
53.14468,53.15191
53.24179,53.24768
53.34012,53.34407
53.14418,53.1566
53.19437,53.1987
53.24193,53.25228
53.14449,53.15479
53.14519,53.1738
53.29581,53.30173
53.14606,53.16145
53.05017,53.0527
53.14643,53.15487
53.29369,53.30029
53.09815,53.11008
53.1967,53.29163
53.10011,53.11154
53.19584,53.21025
