Sensor,Axis,Angular velocity,X,Y,Z,Temp
E33,X,0,-0.534332,0.766621,-0.995422,26.424118
E33,X,0,-0.507432,0.732198,-0.967499,26.427059
E33,X,0,-0.576921,0.684962,-0.969019,26.43
E33,X,0,-0.596893,0.692033,-1.038313,26.424118
E33,X,0,-0.467148,0.629376,-0.987916,26.406471
E33,X,0,-0.528686,0.684548,-0.96812,26.415295
E33,X,0,-0.569869,0.657622,-1.024179,26.438824
E33,X,0,-0.549401,0.671073,-0.982361,26.397648
E33,X,0,-0.542031,0.725655,-0.961281,26.418236
E33,X,0,-0.480013,0.725123,-0.960125,26.427059
E33,X,0,-0.65301,0.671934,-0.956711,26.418236
E33,X,0,-0.569349,0.705443,-1.017049,26.406471
E33,X,0,-0.542906,0.623206,-1.003151,26.432941
E33,X,0,-0.535159,0.739242,-0.940402,26.412354
E33,X,0,-0.508241,0.6707,-0.960908,26.424118
E33,X,0,-0.556413,0.691592,-0.941023,26.43
E33,X,0,-0.577437,0.678086,-0.920793,26.418236
E33,X,0,-0.509045,0.67062,-0.871283,26.421177
E33,X,0,-0.577107,0.684943,-0.948336,26.406471
E33,X,0,-0.515603,0.698008,-0.871277,26.43
E33,X,0,-0.50789,0.684383,-0.981523,26.406471
E33,X,0,-0.542962,0.684617,-0.913223,26.40353
E33,X,0,-0.604442,0.698851,-0.955677,26.415295
E33,X,0,-0.536116,0.650433,-0.954628,26.421177
E33,X,0,-0.473496,0.704554,-0.946309,26.421177
E33,X,0,-0.618471,0.698944,-0.928357,26.397648
E33,X,0,-0.555857,0.691648,-1.003071,26.424118
E33,X,0,-0.528662,0.711847,-0.933514,26.385881
