Sensor,Axis,Angular velocity,X,Y,Z,Temp
EXT,X,0,-0.572205,-0.1297,-1.228333,25.332941
EXT,X,0,-0.572205,-0.114441,-1.159668,25.362352
EXT,X,0,-0.572205,-0.076294,-1.174927,25.335882
EXT,X,0,-0.572205,-0.053406,-1.12915,25.338823
EXT,X,0,-0.572205,-0.114441,-1.213074,25.324118
EXT,X,0,-0.572205,-0.061035,-1.190186,25.344706
EXT,X,0,-0.572205,-0.137329,-1.190186,25.344706
EXT,X,0,-0.572205,-0.045776,-1.228333,25.35647
EXT,X,0,-0.572205,-0.083923,-1.205444,25.353529
EXT,X,0,-0.579834,-0.053406,-1.213074,25.35647
EXT,X,0,-0.579834,-0.106812,-1.197815,25.33
EXT,X,0,-0.579834,-0.114441,-1.243591,25.353529
EXT,X,0,-0.579834,-0.061035,-1.190186,25.359411
EXT,X,0,-0.579834,-0.106812,-1.144409,25.353529
EXT,X,0,-0.579834,-0.137329,-1.205444,25.365294
EXT,X,0,-0.579834,-0.137329,-1.213074,25.385881
EXT,X,0,-0.579834,-0.114441,-1.174927,25.332941
EXT,X,0,-0.579834,-0.053406,-1.159668,25.335882
EXT,X,0,-0.579834,-0.091553,-1.197815,25.344706
EXT,X,0,-0.579834,-0.091553,-1.167297,25.350588
EXT,X,0,-0.579834,-0.076294,-1.13678,25.347647
EXT,X,0,-0.579834,-0.053406,-1.152039,25.359411
EXT,X,0,-0.579834,-0.045776,-1.167297,25.350588
EXT,X,0,-0.579834,-0.053406,-1.167297,25.347647
EXT,X,0,-0.579834,-0.091553,-1.159668,25.347647
EXT,X,0,-0.579834,-0.12207,-1.152039,25.350588
EXT,X,0,-0.579834,-0.114441,-1.113892,25.33
EXT,X,0,-0.579834,-0.106812,-1.190186,25.338823
EXT,X,0,-0.579834,-0.106812,-1.220703,25.33
EXT,X,0,-0.579834,-0.114441,-1.205444,25.321177
EXT,X,0,-0.579834,-0.045776,-1.243591,25.341764
EXT,X,0,-0.579834,-0.022888,-1.197815,25.312353
EXT,X,0,-0.579834,-0.099182,-1.152039,25.344706
EXT,X,0,-0.579834,-0.076294,-1.174927,25.344706
EXT,X,0,-0.579834,-0.068665,-1.182556,25.350588
EXT,X,0,-0.579834,-0.053406,-1.213074,25.312353
EXT,X,0,-0.579834,-0.106812,-1.190186,25.332941
EXT,X,0,-0.579834,-0.114441,-1.190186,25.335882
EXT,X,0,-0.579834,-0.114441,-1.182556,25.350588
EXT,X,0,-0.579834,-0.022888,-1.197815,25.338823
EXT,X,0,-0.579834,-0.091553,-1.228333,25.324118
EXT,X,0,-0.579834,-0.144958,-1.190186,25.344706
EXT,X,0,-0.579834,-0.091553,-1.197815,25.344706
EXT,X,0,-0.579834,-0.137329,-1.174927,25.324118
EXT,X,0,-0.579834,-0.083923,-1.213074,25.338823
EXT,X,0,-0.579834,-0.083923,-1.182556,25.335882
EXT,X,0,-0.579834,-0.068665,-1.220703,25.327059
EXT,X,0,-0.579834,-0.045776,-1.174927,25.332941
EXT,X,0,-0.587463,-0.114441,-1.182556,25.347647
