X0 b'E33: x = -0.528415, y = 0.711872, z = -0.961091, temp = 26.459412\r\n'
X0 b'E33: x = -0.535849, y = 0.636811, z = -1.002955, temp = 26.474117\r\n'
X0 b'E33: x = -0.597613, y = 0.698785, z = -0.948655, temp = 26.462353\r\n'
X0 b'E33: x = -0.548840, y = 0.712074, z = -0.989053, temp = 26.459412\r\n'
X0 b'E33: x = -0.569741, y = 0.698580, z = -0.982612, temp = 26.482941\r\n'
X0 b'E33: x = -0.624782, y = 0.726357, z = -0.955928, temp = 26.444706\r\n'
X0 b'E33: x = -0.584366, y = 0.705438, z = -0.879422, temp = 26.465294\r\n'
X0 b'E33: x = -0.576858, y = 0.705440, z = -0.948236, temp = 26.432941\r\n'
X0 b'E33: x = -0.556680, y = 0.705214, z = -0.892696, temp = 26.432941\r\n'
X0 b'E33: x = -0.536173, y = 0.691372, z = -0.892378, temp = 26.471176\r\n'
X0 b'E33: x = -0.542033, y = 0.705182, z = -0.988959, temp = 26.432941\r\n'
X0 b'E33: x = -0.521113, y = 0.705030, z = -1.016150, temp = 26.450588\r\n'
X0 b'E33: x = -0.535453, y = 0.684620, z = -0.982037, temp = 26.450588\r\n'
X0 b'E33: x = -0.535432, y = 0.691446, z = -0.975109, temp = 26.444706\r\n'
X0 b'E33: x = -0.522931, y = 0.657079, z = -0.878501, temp = 26.456470\r\n'
X0 b'E33: x = -0.529057, y = 0.684511, z = -0.926755, temp = 26.459412\r\n'
X0 b'E33: x = -0.521501, y = 0.739111, z = -0.926357, temp = 26.462353\r\n'
X0 b'E33: x = -0.556703, y = 0.677915, z = -0.927302, temp = 26.471176\r\n'
X0 b'E33: x = -0.590993, y = 0.671403, z = -0.955555, temp = 26.465294\r\n'
X0 b'E33: x = -0.521774, y = 0.691315, z = -0.961064, temp = 26.430000\r\n'
X0 b'E33: x = -0.562703, y = 0.725832, z = -0.961666, temp = 26.459412\r\n'
X0 b'E33: x = -0.529472, y = 0.650349, z = -0.926923, temp = 26.447647\r\n'
X0 b'E33: x = -0.542548, y = 0.698307, z = -0.940733, temp = 26.438824\r\n'
X0 b'E33: x = -0.536239, y = 0.650421, z = -0.940840, temp = 26.441765\r\n'
X0 b'E33: x = -0.563408, y = 0.677993, z = -0.948113, temp = 26.447647\r\n'
X0 b'E33: x = -0.529140, y = 0.677679, z = -0.926788, temp = 26.424118\r\n'
X0 b'E33: x = -0.625012, y = 0.692214, z = -0.976779, temp = 26.456470\r\n'
X0 b'E33: x = -0.494394, y = 0.711533, z = -0.912190, temp = 26.444706\r\n'
X0 b'E33: x = -0.555002, y = 0.787271, z = -0.968129, temp = 26.471176\r\n'
X0 b'E33: x = -0.521524, y = 0.711813, z = -0.960963, temp = 26.421177\r\n'
X0 b'E33: x = -0.494520, y = 0.691048, z = -0.926079, temp = 26.438824\r\n'
X0 b'E33: x = -0.569745, y = 0.657635, z = -1.037968, temp = 26.447647\r\n'
