m1,m2,m3
-533.333374,14.102565,-79.487183
-521.794861,-3.846154,-88.46154
-525.641052,-3.846154,-70.512825
-524.359009,2.564103,-75.641029
-529.487183,-3.846154,-84.615387
-524.359009,-5.128205,-82.051285
-528.205139,2.564103,-74.358978
-532.05127,-3.846154,-84.615387
-519.230774,5.128205,-74.358978
-528.205139,-3.846154,-76.92308
-529.487183,-2.564103,-83.333336
-521.794861,-6.410256,-78.205132
-519.230774,-1.282051,-78.205132
-524.359009,2.564103,-88.46154
-521.794861,-5.128205,-80.769234
-533.333374,0.0,-78.205132
-528.205139,-5.128205,-80.769234
-512.820557,-11.538462,-82.051285
-525.641052,7.692308,-82.051285
-526.923096,-5.128205,-91.025642
-520.512817,3.846154,-73.076927
-532.05127,5.128205,-82.051285
-528.205139,-6.410256,-89.743591
-528.205139,-5.128205,-82.051285
-524.359009,8.97436,-70.512825
-530.769226,6.410256,-79.487183
-526.923096,6.410256,-84.615387
-521.794861,0.0,-82.051285
-520.512817,-2.564103,-80.769234
-526.923096,-2.564103,-85.897438
-515.384644,-3.846154,-78.205132
-519.230774,-6.410256,-80.769234
-533.333374,3.846154,-75.641029
-528.205139,5.128205,-84.615387
-520.512817,5.128205,-82.051285
-525.641052,5.128205,-73.076927
-533.333374,3.846154,-85.897438
-528.205139,8.97436,-91.025642
-516.666687,8.97436,-80.769234
-514.1026,-3.846154,-74.358978
-529.487183,-5.128205,-80.769234
-520.512817,5.128205,-80.769234
-525.641052,6.410256,-71.794876
-526.923096,3.846154,-75.641029
-528.205139,3.846154,-88.46154
-521.794861,5.128205,-80.769234
-524.359009,-3.846154,-82.051285
-530.769226,1.282051,-83.333336
-520.512817,7.692308,-82.051285
-528.205139,-3.846154,-83.333336
-523.076965,-2.564103,-83.333336
-523.076965,2.564103,-83.333336
-528.205139,-11.538462,-84.615387
-512.820557,-1.282051,-75.641029
-533.333374,1.282051,-84.615387
-521.794861,0.0,-83.333336
-526.923096,5.128205,-85.897438
-524.359009,3.846154,-79.487183
-523.076965,-8.97436,-88.46154
-521.794861,3.846154,-87.179489
-521.794861,11.538462,-73.076927
-524.359009,-5.128205,-87.179489
-528.205139,7.692308,-73.076927
-526.923096,0.0,-78.205132
-528.205139,-1.282051,-88.46154
-528.205139,5.128205,-70.512825
-529.487183,-6.410256,-89.743591
-533.333374,8.97436,-92.307693
-525.641052,2.564103,-79.487183
-529.487183,-2.564103,-78.205132
-526.923096,-14.102565,-89.743591
-532.05127,-3.846154,-92.307693
-514.1026,3.846154,-80.769234
