raw yaw,kal yaw,p1,p2,p3,p4
46.796986,52.641327,0,3,0,1
46.44241,52.295261,0,3,0,1
46.91856,52.769501,0,3,0,1
46.98217,52.82719,0,3,0,1
109.20298,136.693954,3,2,0,0
128.077576,155.543747,3,2,0,0
129.387161,156.757385,3,2,0,0
131.039429,158.349731,3,2,0,0
132.994797,160.311539,3,2,0,0
134.031693,161.483276,3,2,0,0
135.34761,162.569931,3,2,0,0
135.853592,163.222733,3,2,0,0
135.953339,163.323853,3,2,0,0
137.15329,164.512405,3,2,0,0
137.229767,164.530899,3,2,0,0
137.680298,164.976227,3,2,0,0
137.748413,165.136047,3,2,0,0
137.482681,164.81749,3,2,0,0
137.568024,164.877823,3,2,0,0
138.00296,165.254639,3,2,0,0
137.385132,164.784897,3,2,0,0
138.178223,165.250443,3,2,0,0
138.273636,165.369492,3,2,0,0
138.001144,165.338654,3,2,0,0
139.218719,166.651886,3,2,0,0
140.095566,167.288925,3,2,0,0
140.633957,167.92981,3,2,0,0
141.602234,168.947601,3,2,0,0
142.591461,169.900101,3,2,0,0
144.66066,172.034271,3,2,0,0
146.288361,173.792328,3,2,0,0
148.253632,175.558167,3,2,0,0
150.331116,177.723007,3,2,0,0
153.105865,-179.523453,3,2,0,0
155.965698,-176.641434,3,2,0,0
159.742325,-172.975296,3,2,0,0
165.614777,-166.926865,3,2,0,0
168.965469,-163.686249,3,2,0,0
173.506042,-159.084229,3,2,0,0
175.062592,-157.599503,3,2,0,0
176.562347,-156.052063,3,2,0,0
177.99382,-154.606873,3,2,0,0
179.069656,-153.564651,3,2,0,0
-178.965439,153.583267,3,2,0,0
-177.046173,-149.774673,3,2,0,0
-174.995941,-147.674698,3,2,0,0
-172.988174,-145.683243,3,2,0,0
-171.050201,-143.670181,3,2,0,0
-169.469177,-142.12413,3,2,0,0
-167.031113,-139.709137,3,2,0,0
-164.620361,-137.318268,3,2,0,0
-162.438644,-135.101257,3,2,0,0
-160.493134,-133.097488,3,2,0,0
-157.854919,-130.447174,3,2,0,0
-155.209564,-127.844688,3,2,0,0
-152.435654,-125.117516,3,2,0,0
-150.043427,-122.596451,3,2,0,0
-147.462906,-120.006599,3,2,0,0
-144.74501,-117.371086,3,2,0,0
-141.720886,-114.249748,3,2,0,0
-138.84874,-111.420578,3,2,0,0
-136.029495,-108.552193,3,2,0,0
-133.123459,-105.713638,3,2,0,0
-130.274826,-102.840347,3,2,0,0
-127.201324,-99.708031,3,2,0,0
-124.203522,-96.926033,3,2,0,0
-121.423622,-93.917587,3,2,0,0
-118.751038,-91.400475,3,2,0,0
-116.107201,-88.692757,3,2,0,0
-113.55825,-86.334358,3,2,0,0
-110.952362,-83.428253,3,2,0,0
-108.40522,-81.009338,3,2,0,0
-106.039604,-78.624382,3,2,0,0
-103.865837,-76.45314,3,2,0,0
-101.592522,-74.193497,3,2,0,0
-99.379311,-71.963142,3,2,0,0
-97.152763,-70.045494,3,2,0,0
-94.928734,-67.438087,3,2,0,0
-92.90937,-65.648399,3,2,0,0
-90.734138,-63.442116,3,2,0,0
-88.858704,-61.447018,3,2,0,0
-86.961563,-59.516937,3,2,0,0
-85.123154,-57.924747,3,2,0,0
-83.014908,-55.594963,3,2,0,0
-81.346436,-53.94223,3,2,0,0
-79.496719,-52.141708,3,2,0,0
-77.98185,-50.682697,3,2,0,0
-79.3386,-51.957973,3,2,0,0
-74.636345,-47.250298,3,2,0,0
-68.560013,-41.334419,3,2,0,0
-64.805527,-37.453346,3,2,0,0
