mx,my,mz
-103.846161,-725.641052,-212.820526
-103.846161,-730.769226,-228.205139
-108.974365,-719.230774,-214.10257
-106.410263,-741.025696,-226.92308
-101.282051,-721.794922,-212.820526
-111.538467,-733.333374,-221.794876
-103.846161,-723.076965,-220.512833
-111.538467,-730.769226,-226.92308
-107.692314,-724.359009,-210.256424
-107.692314,-738.461548,-217.94873
-102.564102,-724.359009,-221.794876
-106.410263,-734.615417,-230.769241
-103.846161,-724.359009,-215.384628
-116.666672,-730.769226,-216.666672
-102.564102,-726.923096,-223.076935
-106.410263,-728.205139,-215.384628
-101.282051,-729.487183,-232.051285
-108.974365,-733.333374,-214.10257
-112.820518,-728.205139,-232.051285
-115.384621,-729.487183,-211.538467
-106.410263,-730.769226,-220.512833
-108.974365,-728.205139,-215.384628
-110.256416,-739.743591,-224.358978
-106.410263,-732.051331,-211.538467
-105.128212,-733.333374,-220.512833
-103.846161,-726.923096,-212.820526
-105.128212,-734.615417,-221.794876
-110.256416,-724.359009,-216.666672
-102.564102,-729.487183,-220.512833
-101.282051,-723.076965,-223.076935
-106.410263,-734.615417,-224.358978
-107.692314,-728.205139,-211.538467
-106.410263,-729.487183,-223.076935
-108.974365,-723.076965,-217.94873
-111.538467,-729.487183,-219.230774
-101.282051,-726.923096,-223.076935
-106.410263,-728.205139,-215.384628
-102.564102,-730.769226,-228.205139
-102.564102,-728.205139,-208.974365
-101.282051,-737.179504,-224.358978
-108.974365,-729.487183,-208.974365
-106.410263,-725.641052,-230.769241
-110.256416,-725.641052,-210.256424
-110.256416,-728.205139,-232.051285
-102.564102,-728.205139,-217.94873
-105.128212,-728.205139,-224.358978
-107.692314,-720.512817,-217.94873
-102.564102,-728.205139,-232.051285
-107.692314,-726.923096,-208.974365
-106.410263,-732.051331,-226.92308
-110.256416,-729.487183,-214.10257
-107.692314,-728.205139,-226.92308
-111.538467,-729.487183,-207.692322
-112.820518,-729.487183,-220.512833
-106.410263,-725.641052,-215.384628
-106.410263,-734.615417,-219.230774
-107.692314,-726.923096,-215.384628
-103.846161,-730.769226,-221.794876
-112.820518,-732.051331,-215.384628
-103.846161,-730.769226,-223.076935
-105.128212,-723.076965,-220.512833
-110.256416,-725.641052,-212.820526
-101.282051,-729.487183,-226.92308
-114.10257,-726.923096,-214.10257
-102.564102,-728.205139,-224.358978
-107.692314,-726.923096,-206.410263
-105.128212,-729.487183,-225.641037
-108.974365,-728.205139,-215.384628
-100.0,-733.333374,-223.076935
-106.410263,-725.641052,-216.666672
-102.564102,-733.333374,-220.512833
-106.410263,-725.641052,-214.10257
-100.0,-730.769226,-224.358978
-112.820518,-725.641052,-219.230774
-106.410263,-732.051331,-226.92308
-105.128212,-725.641052,-212.820526
-106.410263,-725.641052,-220.512833
-107.692314,-726.923096,-212.820526
-111.538467,-735.897461,-211.538467
-107.692314,-730.769226,-219.230774
-107.692314,-728.205139,-217.94873
-107.692314,-734.615417,-228.205139
-105.128212,-735.897461,-224.358978
-101.282051,-723.076965,-219.230774
-94.871796,-732.051331,-216.666672
-103.846161,-724.359009,-223.076935
-105.128212,-728.205139,-214.10257
-103.846161,-725.641052,-225.641037
-100.0,-734.615417,-223.076935
-108.974365,-726.923096,-224.358978
-103.846161,-725.641052,-210.256424
-105.128212,-728.205139,-219.230774
-110.256416,-728.205139,-216.666672
-105.128212,-732.051331,-221.794876
-103.846161,-730.769226,-214.10257
-105.128212,-729.487183,-224.358978
-106.410263,-724.359009,-212.820526
-112.820518,-735.897461,-221.794876
-108.974365,-733.333374,-214.10257
-103.846161,-733.333374,-224.358978
-110.256416,-726.923096,-215.384628
-106.410263,-730.769226,-220.512833
-105.128212,-729.487183,-220.512833
-102.564102,-730.769226,-216.666672
-112.820518,-728.205139,-214.10257
-110.256416,-728.205139,-221.794876
-103.846161,-726.923096,-219.230774
-102.564102,-729.487183,-221.794876
-106.410263,-720.512817,-221.794876
-105.128212,-732.051331,-220.512833
-107.692314,-725.641052,-223.076935
-101.282051,-729.487183,-224.358978
-106.410263,-734.615417,-214.10257
-106.410263,-724.359009,-220.512833
-115.384621,-729.487183,-217.94873
-97.435898,-734.615417,-219.230774
-112.820518,-728.205139,-220.512833
-105.128212,-729.487183,-223.076935
-103.846161,-728.205139,-216.666672
-107.692314,-730.769226,-223.076935
-112.820518,-725.641052,-219.230774
-102.564102,-732.051331,-219.230774
-105.128212,-729.487183,-219.230774
-103.846161,-724.359009,-221.794876
-105.128212,-729.487183,-224.358978
-107.692314,-725.641052,-223.076935
-107.692314,-729.487183,-215.384628
-102.564102,-725.641052,-216.666672
-103.846161,-726.923096,-219.230774
-105.128212,-725.641052,-216.666672
-107.692314,-733.333374,-217.94873
-102.564102,-728.205139,-225.641037
-107.692314,-728.205139,-217.94873
-107.692314,-726.923096,-220.512833
-103.846161,-729.487183,-220.512833
-111.538467,-733.333374,-220.512833
-110.256416,-726.923096,-217.94873
-103.846161,-734.615417,-219.230774
-107.692314,-726.923096,-214.10257
-117.948723,-728.205139,-217.94873
-103.846161,-726.923096,-220.512833
-103.846161,-732.051331,-214.10257
-112.820518,-723.076965,-216.666672
-110.256416,-733.333374,-217.94873
-98.717949,-726.923096,-215.384628
-106.410263,-734.615417,-221.794876
-103.846161,-728.205139,-219.230774
-106.410263,-725.641052,-221.794876
-107.692314,-723.076965,-216.666672
-105.128212,-730.769226,-220.512833
-106.410263,-723.076965,-215.384628
-107.692314,-734.615417,-216.666672
-107.692314,-724.359009,-220.512833
-110.256416,-720.512817,-220.512833
-102.564102,-725.641052,-215.384628
-102.564102,-734.615417,-220.512833
-106.410263,-720.512817,-219.230774
-106.410263,-733.333374,-225.641037
-112.820518,-728.205139,-217.94873
-105.128212,-737.179504,-214.10257
-106.410263,-726.923096,-229.487183
-107.692314,-728.205139,-217.94873
-102.564102,-728.205139,-215.384628
-102.564102,-728.205139,-215.384628
-103.846161,-728.205139,-223.076935
-108.974365,-726.923096,-221.794876
-110.256416,-724.359009,-223.076935
-105.128212,-728.205139,-217.94873
-105.128212,-733.333374,-220.512833
-97.435898,-732.051331,-217.94873
-107.692314,-732.051331,-224.358978
-112.820518,-728.205139,-221.794876
-110.256416,-726.923096,-225.641037
-106.410263,-728.205139,-214.10257
-102.564102,-729.487183,-216.666672
-103.846161,-725.641052,-216.666672
-102.564102,-733.333374,-223.076935
-106.410263,-726.923096,-212.820526
-98.717949,-732.051331,-221.794876
-112.820518,-723.076965,-217.94873
-103.846161,-734.615417,-226.92308
-101.282051,-729.487183,-223.076935
-103.846161,-728.205139,-223.076935
-105.128212,-730.769226,-217.94873
-110.256416,-732.051331,-214.10257
-112.820518,-725.641052,-221.794876
-103.846161,-733.333374,-216.666672
-108.974365,-724.359009,-221.794876
-107.692314,-733.333374,-216.666672
-102.564102,-729.487183,-217.94873
-107.692314,-728.205139,-220.512833
-106.410263,-728.205139,-216.666672
-107.692314,-732.051331,-216.666672
-102.564102,-735.897461,-221.794876
-105.128212,-726.923096,-217.94873
-105.128212,-737.179504,-224.358978
-112.820518,-728.205139,-212.820526
-103.846161,-729.487183,-217.94873
-110.256416,-725.641052,-215.384628
-108.974365,-726.923096,-223.076935
-112.820518,-725.641052,-211.538467
-102.564102,-729.487183,-225.641037
-100.0,-729.487183,-212.820526
-106.410263,-728.205139,-228.205139
-103.846161,-728.205139,-211.538467
-110.256416,-729.487183,-221.794876
-106.410263,-729.487183,-208.974365
-106.410263,-729.487183,-221.794876
-105.128212,-728.205139,-216.666672
-98.717949,-732.051331,-216.666672
-102.564102,-719.230774,-223.076935
-105.128212,-737.179504,-223.076935
-101.282051,-726.923096,-221.794876
-106.410263,-732.051331,-221.794876
-103.846161,-729.487183,-224.358978
-110.256416,-737.179504,-220.512833
-103.846161,-732.051331,-220.512833
-106.410263,-737.179504,-215.384628
-102.564102,-734.615417,-225.641037
-106.410263,-726.923096,-212.820526
-103.846161,-733.333374,-217.94873
-103.846161,-728.205139,-211.538467
