x,y,z
-215.384628,1460.25647,332.0513
-203.846161,1455.128296,298.717957
-200.0,1453.846191,307.692322
-203.846161,1452.564209,324.358978
-210.256424,1457.692383,315.384613
-205.128204,1461.538452,341.025665
-203.846161,1453.846191,301.282074
-207.692322,1453.846191,328.205139
-203.846161,1453.846191,317.94873
-165.384628,1446.153931,351.282074
-269.230774,1443.589844,250.000015
-269.230774,1330.769287,260.256409
-232.051285,1284.615479,282.0513
-288.461548,1208.974365,417.94873
-248.717957,1185.897461,398.717957
-164.10257,1164.102661,380.769257
-243.589752,1188.461548,412.820526
-226.92308,1229.487183,401.282074
-246.153854,1171.794922,397.435913
-221.794876,1185.897461,403.846161
-211.538467,1212.820557,452.564117
-310.256409,1187.179565,394.871796
-328.205139,1139.743652,382.0513
-250.000015,1156.410278,380.769257
-250.000015,1146.153931,384.615387
-262.820526,1174.359009,344.871796
-407.692322,978.205139,421.794891
-401.282074,921.794922,550.0
-541.025635,1012.820557,208.974365
-573.076965,1041.025635,171.794876
-356.410278,1270.512817,252.564117
-264.10257,1323.077026,300.0
-329.487183,1246.153931,217.94873
-414.10257,1208.974365,210.256424
-715.384644,942.307739,187.179489
-584.615417,992.307739,392.307709
-303.846161,1151.282104,364.10257
298.717957,1412.820557,498.717957
107.692314,1438.461548,506.410278
-578.205139,1224.359009,224.358978
-816.666687,1030.769287,207.692322
-565.384644,1207.692383,257.692322
-541.025635,1255.128296,232.051285
-516.666687,1303.846191,238.461548
-543.589783,1373.077026,219.230774
-896.15387,1100.0,46.153847
-998.717957,1146.153931,175.641037
-432.0513,1465.384644,151.282059
-980.769287,1108.974365,6.410256
-1220.512817,1126.923096,178.205139
-1275.641113,1141.025635,170.512833
-1300.0,1046.153931,198.717957
-1333.333374,974.359009,185.897446
-1275.641113,973.076965,197.435898
-1239.743652,1001.282104,230.769241
-1238.461548,1000.000061,94.871796
-1160.25647,1088.461548,46.153847
-1251.282104,976.923096,-80.769234
-1267.94873,950.000061,-23.076923
-1410.25647,748.717957,-25.641026
-821.794922,924.359009,439.743591
-1034.615479,1076.923096,283.333344
-1008.974365,1093.589722,288.461548
-982.051331,1158.974365,266.666687
-970.512878,1197.435913,269.230774
-891.025696,1200.0,314.10257
-39.743591,828.205139,337.179504
29.487181,893.589783,419.230774
-58.974361,1158.974365,462.820526
-85.897438,1276.923096,437.179504
630.769226,-194.871796,1.282051
674.359009,-494.871826,-173.076935
697.435913,-442.307709,-189.743591
637.179504,-689.743591,-228.205139
242.307693,879.487183,321.794891
10.256411,1092.307739,278.205139
650.0,-917.94873,-471.794891
651.282043,-1069.230835,-508.974365
830.769287,-688.461548,-214.10257
530.769226,332.0513,111.538467
166.666672,655.128235,182.051285
-79.487183,671.794922,137.179489
160.256409,-1383.333374,-652.564148
346.15387,-1426.923096,-532.05127
667.94873,-279.487183,-73.076927
-317.94873,1258.974365,106.410263
512.820557,410.256409,98.717949
706.410278,-215.384628,-66.666672
608.974365,384.615387,175.641037
-10.256411,806.410278,106.410263
-244.871796,767.94873,114.10257
-306.410278,912.820557,410.256409
760.256409,-1112.820557,-502.564117
735.897461,-976.923096,-441.025665
737.179504,-629.487183,-296.15387
714.1026,-842.307739,-335.897461
735.897461,-576.923096,-280.769226
615.384644,-464.10257,-178.205139
538.461548,-532.05127,-151.282059
505.128235,-279.487183,132.051285
705.128235,55.128208,208.974365
601.282043,524.359009,338.461548
739.743591,34.615387,74.358978
460.256439,256.410278,164.10257
507.692322,-183.333344,-46.153847
391.025665,-61.538464,153.846161
517.94873,321.794891,364.10257
412.820526,806.410278,462.820526
215.384628,1024.359009,275.641022
98.717949,307.692322,346.15387
806.410278,419.230774,206.410263
653.846191,416.666687,235.897446
488.461548,669.230774,442.307709
-62.820515,176.92308,629.487183
98.717949,370.512848,446.15387
219.230774,478.205139,398.717957
-184.615387,382.0513,626.923096
-25.641026,380.769257,508.974365
-14.102565,437.179504,484.615387
260.256409,564.1026,393.589752
-216.666672,339.743591,697.435913
-71.794876,394.871796,447.435913
429.487183,475.641052,258.974365
-125.641029,438.461548,532.05127
-16.666668,421.794891,443.589752
453.846161,782.051331,283.333344
-32.051285,747.435913,465.384644
-208.974365,680.769226,638.461548
664.1026,975.641052,301.282074
780.769287,748.717957,162.820511
174.358978,335.897461,233.333344
425.641052,515.384644,141.02565
687.179504,442.307709,73.076927
171.794876,397.435913,444.871796
79.487183,596.15387,587.179504
70.512825,803.846191,434.615387
302.564117,435.897461,275.641022
410.256409,160.256409,98.717949
982.051331,253.846161,-52.564106
1002.564148,228.205139,-34.615387
412.820526,262.820526,182.051285
456.410278,641.025635,169.230774
564.1026,615.384644,173.076935
473.076935,242.307693,205.128204
476.923096,316.666687,291.025665
510.256439,500.000031,132.051285
628.205139,196.153854,157.692307
648.717957,407.692322,335.897461
614.1026,134.615387,121.794876
585.897461,103.846161,183.333344
525.641052,502.564117,462.820526
543.589783,812.820557,462.820526
556.410278,461.538483,160.256409
623.076965,130.769241,139.743591
652.564148,-106.410263,220.512833
628.205139,-119.230774,184.615387
443.589752,683.333374,120.512825
242.307693,612.820557,273.076935
480.769257,560.256409,129.487183
67.948723,756.410278,383.333344
210.256424,785.897461,230.769241
353.846161,579.487183,157.692307
208.974365,566.666687,265.384613
620.512817,820.512817,89.743591
70.512825,810.256409,288.461548
151.282059,291.025665,266.666687
3.846154,685.897461,455.128235
451.282074,737.179504,437.179504
106.410263,523.076965,483.333344
46.153847,439.743591,469.230774
294.871796,724.359009,447.435913
264.10257,524.359009,408.974365
-17.948719,564.1026,667.94873
-20.512821,832.051331,665.384644
353.846161,458.974365,500.000031
158.974365,-706.410278,85.897438
547.435913,273.076935,375.641052
