theta,phi,temp
1.275687,2.356194,38.8125
0.0,0.0,38.8125
0.0,0.0,38.84375
1.275687,2.356194,38.84375
0.0,0.0,38.84375
1.275687,5.497787,38.84375
1.275687,2.356194,38.8125
0.0,0.0,38.84375
0.0,0.0,38.84375
1.209326,0.472779,38.84375
1.268726,0.762009,38.8125
1.268726,0.762009,38.8125
1.194486,1.975688,38.84375
0.0,0.0,38.8125
1.275687,2.356194,38.84375
0.0,0.0,38.84375
1.268726,0.762009,38.84375
0.0,0.0,38.84375
0.0,0.0,38.84375
1.275687,2.356194,38.84375
0.0,0.0,38.84375
1.268726,0.762009,38.84375
1.183551,1.892547,38.8125
1.268726,0.762009,38.84375
1.171656,1.768359,38.84375
1.229985,2.356194,38.84375
1.275687,2.356194,38.84375
0.0,0.0,38.84375
1.162912,1.570909,38.84375
1.234278,2.521343,38.84375
1.268726,0.762009,38.84375
1.207357,1.0978,38.84375
1.185718,2.356194,38.84375
0.0,0.0,38.84375
0.0,0.0,38.84375
8.4e-05,0.004901,38.84375
1.275687,2.356194,38.84375
1.275687,5.497787,38.84375
1.275687,2.356194,38.84375
1.239548,2.214298,38.84375
0.0,0.0,38.84375
1.275687,2.356194,38.84375
0.0,0.0,38.84375
1.17432,1.36635,38.875
1.275687,2.356194,38.84375
1.275687,3.926991,38.875
1.275687,2.356194,38.84375
1.275687,2.356194,38.84375
0.0,0.0,38.875
1.275687,3.926991,38.875
1.275687,2.356194,38.875
0.0,0.0,38.84375
1.275687,2.356194,38.875
0.0,0.0,38.84375
1.268726,0.762009,38.84375
1.275687,2.356194,38.875
0.0,0.0,38.875
1.194486,1.975688,38.875
1.239548,2.214298,38.875
1.275687,2.356194,38.84375
1.268726,0.762009,38.875
0.0,0.0,38.875
0.0,0.0,38.875
0.0,0.0,38.875
0.0,0.0,38.875
0.0,0.0,38.875
1.175666,1.815775,38.875
0.0,0.0,38.84375
1.275687,2.356194,38.875
1.275687,2.356194,38.875
1.275687,2.356194,38.875
1.268726,0.762009,38.875
0.0,0.0,38.875
0.0,0.0,38.875
1.203711,2.034444,38.875
-0.0,2.677945,38.875
0.0,0.0,38.875
0.0,0.0,38.875
1.275687,2.356194,38.875
1.275687,2.356194,38.875
0.0,0.0,38.84375
0.0,0.0,38.875
1.162912,1.570909,38.875
1.268726,0.762009,38.875
0.0,0.0,38.875
0.0,0.0,38.875
0.0,0.0,38.90625
0.0,0.0,38.875
0.0,0.0,38.875
1.175666,1.815775,38.90625
1.095404,2.36158,38.875
0.824454,0.762009,38.875
